VARIABLE	YEAR	MONTH	DAY	NBR STA.	RMSE	MARIEVILLE	ST HYACINTHE 2	IBERVILLE	FARNHAM	SABREVOIS	STE MADELEINE	FLEURY	ST GUILLAUME	STE MARTINE	GRANBY	ST NAZAIRE	DRUMMONDVILLE	PHILIPSBURG	ST BERNARD DE LACOLLE	RICHMOND
Min Temp (deg C)	2005	11	18	4	1.12	-6.1	-6.0	-5.0		-6.0	-8.5									
Min Temp (deg C)	2005	11	22	4	1.12	-1.4	-2.0	-1.0		-1.0	-2.0									
Min Temp (deg C)	2005	11	23	4	1.12	-6.9	-7.0	-6.0		-8.0	-7.0									
Min Temp (deg C)	2005	11	29	4	1.12	6.4	2.0	9.0		8.0	4.0									
Min Temp (deg C)	2005	12	1	4	1.12	0.8	-1.0	2.0		1.5	-0.5									
Min Temp (deg C)	2005	12	2	4	1.12	-1.9	-2.0	-1.0		-3.5	-1.0									
Min Temp (deg C)	2005	12	6	4	1.12	-6.8	-8.0	-5.5		-7.0	-8.0									
Min Temp (deg C)	2005	12	7	4	1.12	-10.4	-10.0	-9.5		-11.0	-12.0									
Min Temp (deg C)	2005	12	14	4	1.12	-25.7	-27.0	-24.0		-27.0	-25.5									
Min Temp (deg C)	2005	12	15	4	1.12	-25.5	-28.0	-24.0		-25.0	-26.0									
Min Temp (deg C)	2005	12	16	4	1.12	-14.2	-14.5	-13.5		-15.0	-14.0									
Min Temp (deg C)	2005	12	17	4	1.12	-5.9	-8.0	-4.5		-5.5	-7.0									
Min Temp (deg C)	2005	12	18	4	1.12	-6.1	-7.5	-5.0		-6.0	-7.0									
Min Temp (deg C)	2005	12	19	4	1.12	-7.4	-8.0	-6.5		-7.5	-8.5									
Min Temp (deg C)	2005	12	20	4	1.12	-8.0	-7.0	-6.0		-10.0	-10.5									
Min Temp (deg C)	2005	12	21	4	1.12	-23.8	-28.0	-21.0		-23.5	-25.0									
Min Temp (deg C)	2005	12	22	4	1.12	-18.1	-21.0	-13.5		-20.5	-20.5									
Min Temp (deg C)	2005	12	23	4	1.12	-3.4	-4.5	-3.0		-3.0	-3.5									
Min Temp (deg C)	2005	12	24	4	1.12	0.1	-0.5	0.5		0.0	0.0									
Min Temp (deg C)	2005	12	25	4	1.12	0.6	0.5	1.0		0.5	0.0									
Min Temp (deg C)	2005	12	26	4	1.12	-4.4	-5.0	-3.9		-5.0	-4.0									
Min Temp (deg C)	2005	12	27	4	1.12	-11.8	-11.0	-12.0		-12.0	-12.0									
Min Temp (deg C)	2005	12	28	4	1.12	-9.0	-11.0	-6.0		-13.0	-7.0									
Min Temp (deg C)	2005	12	29	4	1.12	-2.0	-2.5	-1.5		-1.5	-3.0									
Min Temp (deg C)	2005	12	30	4	1.12	-10.7	-14.0	-8.0		-10.0	-13.5									
Min Temp (deg C)	2005	12	31	4	1.12	-20.3	-23.0	-21.0		-16.0	-22.0									
Min Temp (deg C)	2006	1	1	4	1.12	-13.7	-14.0	-13.5		-13.0	-15.0									
Min Temp (deg C)	2006	1	2	4	1.12	-9.5	-10.0	-9.0		-9.0	-10.5									
Min Temp (deg C)	2006	1	3	4	1.12	-13.3	-14.5	-11.0		-15.5	-13.5									
Min Temp (deg C)	2006	1	4	4	1.12	-17.9	-19.0	-17.0		-18.0	-18.0									
Min Temp (deg C)	2006	1	5	4	1.12	-6.4	-7.0	-6.5		-7.5	-4.0									
Min Temp (deg C)	2006	1	6	4	1.12	-8.7	-8.0	-6.5		-12.0	-9.0									
Min Temp (deg C)	2006	1	7	4	1.12	-17.5	-18.0	-16.0		-18.0	-19.0									
Min Temp (deg C)	2006	1	8	4	1.12	-12.6	-14.5	-12.0		-11.0	-14.0									
Min Temp (deg C)	2006	1	9	4	1.12	-8.4	-8.0	-7.5		-9.0	-10.0									
Min Temp (deg C)	2006	1	10	4	1.12	-6.9	-9.0	-4.5		-6.0	-11.0									
Min Temp (deg C)	2006	1	11	4	1.12	-8.4	-10.5	-7.0		-9.0	-8.0									
Min Temp (deg C)	2006	1	12	4	1.12	0.7	0.0	2.0		0.0	0.0									
Min Temp (deg C)	2006	1	13	4	1.12	-0.0	-0.5	0.5		-0.5	0.0									
Min Temp (deg C)	2006	1	14	4	1.12	-2.7	-5.0	-1.5		-3.0	-2.0									
Min Temp (deg C)	2006	1	15	4	1.12	-15.5	-16.0	-15.0		-15.0	-16.5									
Min Temp (deg C)	2006	1	16	4	1.12	-18.9	-18.0	-19.5		-19.0	-18.5									
Min Temp (deg C)	2006	1	17	4	1.12	-15.4	-15.5	-14.5		-16.5	-15.5									
Min Temp (deg C)	2006	1	18	4	1.12	-8.2	-7.5	-8.0		-8.5	-9.0									
Min Temp (deg C)	2006	1	19	4	1.12	-2.4	-2.0	-2.5		-2.5	-2.5									
Min Temp (deg C)	2006	1	20	4	1.12	-2.4	-3.0	-2.5		-1.5	-3.0									
Min Temp (deg C)	2006	1	21	4	1.12	-2.5	-2.5	-1.5		-4.0	-2.5									
Min Temp (deg C)	2006	1	22	4	1.12	-12.9	-13.5	-12.0		-12.5	-14.5									
Min Temp (deg C)	2006	1	23	4	1.12	-8.6	-8.5	-9.0		-7.0	-10.5									
Min Temp (deg C)	2006	1	24	4	1.12	-5.6	-7.0	-4.0		-6.0	-6.5									
Min Temp (deg C)	2006	1	25	4	1.12	-1.3	-1.5	-1.0		-1.5	-1.5									
Min Temp (deg C)	2006	1	26	4	1.12	-9.8	-10.0	-9.5		-11.5	-7.5									
Min Temp (deg C)	2006	1	27	4	1.12	-14.0	-16.0	-13.0		-12.5	-16.0									
Min Temp (deg C)	2006	1	28	4	1.12	-4.7	-5.0	-4.0		-6.0	-4.0									
Min Temp (deg C)	2006	1	29	4	1.12	-5.2	-6.0	-5.0		-4.5	-6.0									
Min Temp (deg C)	2006	1	30	4	1.12	-5.7	-6.0	-5.0		-5.5	-7.0									
Min Temp (deg C)	2006	1	31	4	1.12	-5.3	-5.0	-5.0		-5.5	-6.0									
Min Temp (deg C)	2006	2	1	4	1.12	-4.8	-5.0	-5.0		-4.5	-4.5									
Min Temp (deg C)	2006	2	2	4	1.12	-5.6	-5.5	-5.5		-6.0	-5.5									
Min Temp (deg C)	2006	2	3	4	1.12	-3.6	-3.0	-4.0		-4.0	-3.0									
Min Temp (deg C)	2006	2	4	4	1.12	1.6	1.0	2.5		1.0	1.0									
Min Temp (deg C)	2006	2	5	4	1.12	0.9	1.0	1.0		0.5	1.0									
Min Temp (deg C)	2006	2	6	4	1.12	-6.6	-7.0	-6.5		-6.0	-7.0									
Min Temp (deg C)	2006	2	7	4	1.12	-9.5	-9.5	-9.5		-9.5	-9.5									
Min Temp (deg C)	2006	2	8	4	1.12	-10.8	-12.0	-10.0		-10.5	-11.5									
Min Temp (deg C)	2006	2	9	4	1.12	-14.9	-15.0	-14.5		-15.5	-14.5									
Min Temp (deg C)	2006	2	10	4	1.12	-17.5	-19.0	-17.0		-16.0	-19.0									
Min Temp (deg C)	2006	2	11	4	1.12	-17.3	-17.5	-18.0		-16.5	-17.0									
Min Temp (deg C)	2006	2	12	4	1.12	-14.9	-16.0	-14.0		-14.5	-16.0									
Min Temp (deg C)	2006	2	13	4	1.12	-13.2	-16.0	-12.0		-12.5	-13.5									
Min Temp (deg C)	2006	2	14	4	1.12	-7.2	-7.0	-7.5		-7.5	-6.5									
Min Temp (deg C)	2006	2	15	4	1.12	-4.1	-4.5	-4.0		-3.5	-4.5									
Min Temp (deg C)	2006	2	16	4	1.12	-9.4	-10.0	-9.0		-9.0	-10.0									
Min Temp (deg C)	2006	2	17	4	1.12	-11.2	-12.0	-10.0		-11.5	-12.0									
Min Temp (deg C)	2006	2	18	4	1.12	-18.1	-19.0	-17.0		-18.5	-18.5									
Min Temp (deg C)	2006	2	19	4	1.12	-17.4	-18.0	-17.0		-17.0	-18.0									
Min Temp (deg C)	2006	2	20	4	1.12	-9.4	-10.0	-8.0		-8.5	-13.0									
Min Temp (deg C)	2006	2	21	4	1.12	-6.5	-7.0	-5.5		-7.0	-7.0									
Min Temp (deg C)	2006	2	22	4	1.12	-9.8	-9.0	-10.5		-8.0	-12.0									
Min Temp (deg C)	2006	2	23	4	1.12	-2.9	-3.0	-2.0		-3.0	-4.5									
Min Temp (deg C)	2006	2	24	4	1.12	-7.6	-8.0	-7.0		-8.0	-8.0									
Min Temp (deg C)	2006	2	25	4	1.12	-18.1	-21.0	-17.0		-16.0	-20.0									
Min Temp (deg C)	2006	2	26	4	1.12	-17.4	-19.0	-16.0		-17.5	-18.0									
Min Temp (deg C)	2006	2	27	4	1.12	-18.6	-19.5	-18.0		-18.5	-19.0									
Min Temp (deg C)	2006	2	28	4	1.12	-14.8	-15.0	-14.0		-15.0	-16.0									
Min Temp (deg C)	2006	3	1	4	1.12	-18.1	-19.0	-16.5		-19.0	-19.0									
Min Temp (deg C)	2006	3	2	4	1.12	-8.2	-8.0	-7.5		-8.0	-10.0									
Min Temp (deg C)	2006	3	3	4	1.12	-13.6	-14.5	-13.0		-13.0	-14.5									
Min Temp (deg C)	2006	3	4	4	1.12	-8.3	-9.0	-8.0		-8.0	-8.5									
Min Temp (deg C)	2006	3	5	4	1.12	-6.3	-6.0	-5.5		-8.0	-6.0									
Min Temp (deg C)	2006	3	6	4	1.12	-8.4	-9.0	-8.0		-8.5	-8.5									
Min Temp (deg C)	2006	3	7	4	1.12	-8.5	-9.0	-8.0		-8.0	-10.0									
Min Temp (deg C)	2006	3	8	4	1.12	-11.4	-14.0	-10.0		-10.0	-13.5									
Min Temp (deg C)	2006	3	9	4	1.12	-6.3	-8.0	-4.5		-7.0	-7.0									
Min Temp (deg C)	2006	3	10	4	1.12	2.0	1.5	2.5		2.0	1.5									
Min Temp (deg C)	2006	3	11	4	1.12	1.5	0.5	2.5		1.0	1.5									
Min Temp (deg C)	2006	3	12	4	1.12	-0.3	-0.5	-1.0		-0.5	2.0									
Min Temp (deg C)	2006	3	13	4	1.12	1.2	0.1	2.5		0.0	1.5									
Min Temp (deg C)	2006	3	14	4	1.12	2.2	1.0	2.5		3.0	1.5									
Min Temp (deg C)	2006	3	15	4	1.12	-5.1	-6.0	-4.5		-5.0	-5.5									
Min Temp (deg C)	2006	3	16	4	1.12	-7.3	-8.0	-7.0		-7.5	-7.0									
Min Temp (deg C)	2006	3	17	4	1.12	-8.5	-9.0	-8.0		-8.5	-9.0									
Min Temp (deg C)	2006	3	18	4	1.12	-9.9	-11.0	-9.0		-10.0	-10.0									
Min Temp (deg C)	2006	3	19	4	1.12	-8.7	-9.5	-8.0		-9.0	-9.0									
Min Temp (deg C)	2006	3	20	4	1.12	-9.9	-11.0	-9.0		-10.0	-10.0									
Min Temp (deg C)	2006	3	21	4	1.12	-6.7	-7.0	-6.5		-7.0	-6.0									
Min Temp (deg C)	2006	3	22	4	1.12	-2.3	-4.0	-2.5		-1.0	-2.0									
Min Temp (deg C)	2006	3	23	4	1.12	-0.3	-1.0	-0.5		0.5	-0.5									
Min Temp (deg C)	2006	3	24	4	1.16	0.7	0.5		0.0	1.0	0.0									
Min Temp (deg C)	2006	3	25	4	1.16	-0.0	-0.5		0.0	0.0	-0.5									
Min Temp (deg C)	2006	3	26	4	1.12	0.2	0.0	0.8		0.0	-0.5									
Min Temp (deg C)	2006	3	27	4	1.12	-1.7	-2.5	-1.5		-1.5	-1.5									
Min Temp (deg C)	2006	3	28	4	1.12	-3.2	-4.0	-3.0		-2.5	-4.0									
Min Temp (deg C)	2006	3	29	4	1.12	-1.9	-1.0	-2.0		-2.5	-2.0									
Min Temp (deg C)	2006	3	30	4	1.12	-0.4	0.0	-0.5		-1.0	0.0									
Min Temp (deg C)	2006	3	31	4	1.12	1.1	1.0	0.5		1.0	2.5									
Min Temp (deg C)	2006	4	1	4	1.12	9.3	9.0	10.0		8.5	9.0									
Min Temp (deg C)	2006	4	2	4	1.12	0.5	0.0	1.0		0.5	0.0									
Min Temp (deg C)	2006	4	3	4	1.12	-2.1	-4.0	-1.5		-1.5	-2.0									
Min Temp (deg C)	2006	4	4	4	1.12	-0.3	-1.0	0.0		0.0	-0.5									
Min Temp (deg C)	2006	4	5	4	1.12	-2.5	-3.0	-2.0		-3.0	-2.5									
Min Temp (deg C)	2006	4	6	4	1.12	0.3	-0.5	1.0		0.5	-0.5									
Min Temp (deg C)	2006	4	7	4	1.12	2.1	1.0	3.0		2.5	1.0									
Min Temp (deg C)	2006	4	8	4	1.12	-5.0	-6.0	-4.5		-4.5	-5.5									
Min Temp (deg C)	2006	4	9	4	1.12	-3.3	-4.0	-3.0		-3.5	-3.0									
Min Temp (deg C)	2006	4	10	4	1.12	-0.0	-2.0	1.0		0.5	-0.5									
Min Temp (deg C)	2006	4	11	4	1.12	0.4	0.0	0.5		-0.5	2.0									
Min Temp (deg C)	2006	4	12	4	1.12	4.3	2.0	5.5		4.5	4.5									
Min Temp (deg C)	2006	4	13	4	1.12	7.0	9.0	4.5		8.0	8.0									
Min Temp (deg C)	2006	4	14	4	1.14	0.1	-1.0	0.5	1.0		-1.0									
Min Temp (deg C)	2006	4	15	4	1.12	7.0	7.0	9.0		4.0	7.0									
Min Temp (deg C)	2006	4	16	4	1.12	4.0	4.0	4.0		4.0	4.0									
Min Temp (deg C)	2006	4	17	4	1.12	4.2	3.0	4.5		5.0	4.0									
Min Temp (deg C)	2006	4	18	4	1.12	3.3	1.0	4.5		3.5	3.5									
Min Temp (deg C)	2006	4	22	4	1.12	3.7	3.0	4.5		4.0	2.5									
Min Temp (deg C)	2006	4	23	4	1.12	4.4	4.0	4.5		4.5	4.5									
Min Temp (deg C)	2006	4	24	4	1.12	3.6	4.5	3.0		3.0	4.5									
Min Temp (deg C)	2006	4	25	4	1.12	4.9	5.0	5.0		5.0	4.0									
Min Temp (deg C)	2006	4	26	4	1.12	-0.4	-2.0	1.0		-1.0	-0.5									
Min Temp (deg C)	2006	4	28	4	1.12	-2.9	-5.0	-2.0		-2.0	-3.5									
Min Temp (deg C)	2006	4	29	4	1.12	-2.6	-5.0	-2.0		-2.0	-2.0									
Min Temp (deg C)	2006	4	30	4	1.12	-0.6	-3.0	0.0		0.5	-0.5									
Min Temp (deg C)	2006	5	1	4	1.12	3.8	3.0	4.0		4.0	4.0									
Min Temp (deg C)	2006	5	2	4	1.12	8.5	8.0	9.0		8.5	8.0									
Min Temp (deg C)	2006	5	3	4	1.12	8.2	8.0	8.5		8.5	7.0									
Min Temp (deg C)	2006	5	4	4	1.12	9.3	10.0	8.5		8.5	11.5									
Min Temp (deg C)	2006	5	5	4	1.12	9.8	9.0	11.0		8.5	10.0									
Min Temp (deg C)	2006	5	6	4	1.12	8.2	8.0	8.5		8.5	7.0									
Min Temp (deg C)	2006	5	7	4	1.12	0.4	-1.0	1.5		0.5	-0.5									
Min Temp (deg C)	2006	5	8	4	1.12	2.1	2.0	2.5		2.0	1.5									
Min Temp (deg C)	2006	5	9	4	1.12	7.3	6.0	7.5		8.5	6.5									
Min Temp (deg C)	2006	5	10	4	1.12	10.6	9.0	12.0		10.5	9.5									
Min Temp (deg C)	2006	5	11	4	1.12	11.2	10.0	12.0		11.5	10.5									
Min Temp (deg C)	2006	5	12	4	1.12	12.5	11.0	13.5		12.5	12.0									
Min Temp (deg C)	2006	5	13	4	1.12	10.6	10.5	11.0		10.5	10.0									
Min Temp (deg C)	2006	5	14	4	1.12	9.8	10.0	10.0		9.5	9.5									
Min Temp (deg C)	2006	8	13	4	1.12	8.8	6.0	10.0		10.5	7.0									
Min Temp (deg C)	2006	11	18	4	1.12	1.3	0.0	2.0		2.0	0.0									
Min Temp (deg C)	2006	12	30	4	1.12	-14.1	-14.0	-14.0		-14.5	-14.0									
Min Temp (deg C)	2006	12	31	4	1.12	-11.9	-14.0	-8.5		-14.0	-13.5									
Min Temp (deg C)	2007	1	1	4	1.12	-10.7	-8.0	-10.0		-14.5	-9.9									
Min Temp (deg C)	2007	2	8	4	1.12	-15.8	-18.0	-14.5		-15.0	-17.0									
Min Temp (deg C)	2007	2	9	4	1.12	-17.7	-19.0	-17.0		-17.5	-17.5									
Min Temp (deg C)	2007	2	10	4	1.12	-15.3	-18.0	-13.0		-13.5	-19.5									
Min Temp (deg C)	2007	3	28	4	1.12	-0.8	-2.0	0.0		-0.5	-1.5									
Min Temp (deg C)	2007	5	4	4	1.12	2.6	3.0	3.0		1.5	3.0									
Min Temp (deg C)	2007	6	7	4	1.12	5.1	4.5	4.5		6.0	5.5									
Min Temp (deg C)	2007	8	9	4	1.16	9.9	9.0		9.5	10.0	10.0									
Min Temp (deg C)	2007	8	10	4	1.16	10.7	10.0		9.5	11.0	11.0									
Min Temp (deg C)	2007	8	11	4	1.16	13.6	13.0		13.0	13.0	15.0									
Min Temp (deg C)	2007	8	12	4	1.16	15.5	14.5		14.5	16.0	15.5									
Min Temp (deg C)	2007	8	14	4	1.12	12.2	10.0	13.5		13.5	10.0									
Min Temp (deg C)	2007	8	25	4	1.12	20.3	20.0	20.5		20.5	20.0									
Min Temp (deg C)	2007	8	26	4	1.12	18.1	16.0	19.0		19.0	17.5									
Min Temp (deg C)	2007	9	1	4	1.12	11.2	10.0	12.5		11.0	10.0									
Min Temp (deg C)	2007	9	23	4	1.12	10.4	8.5	11.5		10.5	10.0									
Min Temp (deg C)	2007	11	22	4	1.12	-2.9	-4.0	-2.5		-2.0	-4.0									
Min Temp (deg C)	2007	11	23	4	1.12	-6.5	-7.0	-6.0		-6.5	-7.0									
Min Temp (deg C)	2007	11	24	4	1.12	-9.1	-9.0	-8.0		-10.0	-10.0									
Min Temp (deg C)	2007	11	25	4	1.12	-4.6	-5.5	-4.0		-4.0	-6.0									
Min Temp (deg C)	2007	11	26	4	1.12	-0.1	-2.0	1.0		-1.0	1.0									
Min Temp (deg C)	2007	11	27	4	1.12	-0.2	-1.0	0.0		0.0	0.0									
Min Temp (deg C)	2007	11	28	4	1.12	-9.8	-11.0	-9.0		-9.0	-11.0									
Min Temp (deg C)	2007	11	29	4	1.12	-7.2	-9.0	-6.5		-6.0	-8.0									
Min Temp (deg C)	2007	12	24	4	1.12	-4.4	-5.0	-4.0		-4.0	-5.0									
Min Temp (deg C)	2007	12	25	4	1.12	-2.6	-2.0	-1.0		-5.0	-3.0									
Min Temp (deg C)	2008	1	27	4	1.12	-16.5	-19.0	-15.5		-15.5	-17.0									
Min Temp (deg C)	2008	1	28	4	1.12	-16.5	-20.0	-15.0		-15.5	-17.0									
Min Temp (deg C)	2008	1	29	4	1.12	-17.2	-21.0	-16.0		-15.0	-18.0									
Min Temp (deg C)	2008	1	30	4	1.12	-5.2	-7.0	-5.0		-4.0	-5.0									
Min Temp (deg C)	2008	1	31	4	1.12	-10.2	-12.0	-9.0		-10.0	-11.0									
Min Temp (deg C)	2008	2	8	4	1.12	-9.8	-13.0	-9.0		-7.0	-11.5									
Min Temp (deg C)	2008	2	9	4	1.12	-7.7	-9.0	-6.0		-7.5	-10.0									
Min Temp (deg C)	2008	2	10	4	1.12	-5.3	-5.0	-5.0		-5.0	-7.0									
Min Temp (deg C)	2008	4	4	4	1.12	-1.9	-3.0	-1.5		-1.0	-3.0									
Min Temp (deg C)	2008	4	5	4	1.12	0.0	-0.5	0.5		0.0	-0.5									
Min Temp (deg C)	2008	4	6	4	1.12	-1.5	-2.0	-1.0		-1.0	-2.5									
Min Temp (deg C)	2008	4	7	4	1.12	0.8	0.5	1.0		1.0	0.5									
Min Temp (deg C)	2008	4	8	4	1.12	1.6	0.0	2.5		2.0	1.0									
Min Temp (deg C)	2008	4	9	4	1.12	0.3	-0.5	0.5		1.0	0.0									
Min Temp (deg C)	2008	4	10	4	1.12	3.5	3.0	4.0		3.0	3.5									
Min Temp (deg C)	2008	4	11	4	1.12	-2.5	-3.0	-2.0		-3.0	-2.0									
Min Temp (deg C)	2008	5	30	4	1.12	3.0	0.0	4.0		4.0	3.0									
Min Temp (deg C)	2008	6	14	4	1.12	16.9	15.5	17.5		17.5	16.5									
Min Temp (deg C)	2008	6	15	4	1.12	17.9	16.0	18.5		19.5	16.5									
Min Temp (deg C)	2008	7	1	4	1.12	16.7	16.0	17.0		17.0	16.5									
Min Temp (deg C)	2008	8	2	4	1.12	17.0	16.5	18.0		16.0	17.0									
Min Temp (deg C)	2008	8	9	4	1.12	14.4	13.0	15.0		14.5	14.5									
Min Temp (deg C)	2008	8	10	4	1.12	11.7	10.5	12.0		11.5	13.0									
Min Temp (deg C)	2008	9	29	4	1.12	12.5	12.0	13.0		12.5	12.0									
Min Temp (deg C)	2008	9	30	4	1.12	11.0	11.0	11.0		10.0	12.5									
Min Temp (deg C)	2008	10	1	4	1.12	12.6	12.0	13.0		13.0	12.0									
Min Temp (deg C)	2008	10	2	4	1.12	8.9	9.0	9.0		8.5	9.0									
Min Temp (deg C)	2008	10	3	4	1.12	4.9	4.0	6.5		4.0	4.0									
Min Temp (deg C)	2008	10	4	4	1.12	6.6	6.0	7.5		6.0	6.5									
Min Temp (deg C)	2008	10	5	4	1.12	4.2	4.5	5.0		2.0	5.5									
Min Temp (deg C)	2008	10	10	4	1.12	7.1	5.0	8.5		7.0	7.0									
Min Temp (deg C)	2009	2	2	4	1.12	-9.7	-11.0	-6.0		-9.0	-17.0									
Min Temp (deg C)	2009	2	3	4	1.12	-17.9	-22.0	-16.0		-17.5	-17.5									
Min Temp (deg C)	2009	2	4	4	1.12	-19.8	-22.0	-19.0		-20.0	-18.5									
Min Temp (deg C)	2009	2	5	4	1.12	-24.3	-27.0	-23.0		-23.0	-25.5									
Min Temp (deg C)	2009	4	20	4	1.12	-1.2	-3.0	0.0		-1.0	-2.0									
Min Temp (deg C)	2009	4	30	4	1.12	0.3	-1.0	0.5		1.0	0.5									
Min Temp (deg C)	2009	5	23	4	1.14	4.7	3.0	5.5	5.0		4.0									
Min Temp (deg C)	2009	5	31	4	1.12	6.8	7.0	6.5		5.5	9.0									
Min Temp (deg C)	2009	6	6	4	1.12	11.8	10.5	12.0		11.5	13.5									
Min Temp (deg C)	2009	6	18	4	1.12	14.8	14.0	15.0		15.0	15.0									
Min Temp (deg C)	2009	7	21	4	1.12	12.9	12.0	13.0		13.5	13.0									
Min Temp (deg C)	2009	7	24	4	1.12	16.4	15.0	16.5		17.0	17.0									
Min Temp (deg C)	2009	8	9	4	1.12	11.9	11.0	12.0		12.0	12.5									
Min Temp (deg C)	2009	9	12	4	1.12	6.6	5.0	7.0		8.0	5.5									
Min Temp (deg C)	2009	12	4	4	1.12	1.8	2.5	1.5		1.5	2.0									
Min Temp (deg C)	2009	12	5	4	1.12	-1.4	-2.0	-1.0		-1.0	-2.0									
Min Temp (deg C)	2009	12	6	4	1.12	-4.3	-4.0	-4.5		-3.5	-5.5									
Min Temp (deg C)	2009	12	7	4	1.12	-3.3	-3.0	-4.0		-2.5	-3.5									
Min Temp (deg C)	2009	12	8	4	1.12	-6.3	-7.0	-5.5		-7.5	-5.0									
Min Temp (deg C)	2009	12	9	4	1.12	-9.3	-11.0	-9.0		-7.5	-10.5									
Min Temp (deg C)	2009	12	10	4	1.12	-3.3	-3.0	-3.5		-3.0	-4.0									
Min Temp (deg C)	2009	12	11	4	1.12	-7.8	-8.0	-8.0		-7.5	-7.5									
Min Temp (deg C)	2010	1	8	4	1.12	-9.0	-9.0	-9.5		-8.5	-8.5									
Min Temp (deg C)	2010	1	9	4	1.12	-17.9	-18.5	-18.0		-17.0	-18.0									
Min Temp (deg C)	2010	1	10	4	1.12	-20.1	-25.0	-18.5		-17.5	-21.5									
Min Temp (deg C)	2010	1	11	4	1.12	-9.9	-10.0	-10.0		-9.5	-10.0									
Min Temp (deg C)	2010	5	1	4	1.12	5.5	4.5	5.0		6.0	7.0									
Min Temp (deg C)	2010	5	2	4	1.12	10.9	10.5	11.0		12.0	9.5									
Min Temp (deg C)	2010	5	31	4	1.12	8.0	7.0	8.0		8.0	9.0									
Min Temp (deg C)	2010	7	30	4	1.12	11.1		13.0	10.0	11.0	9.0									
Min Temp (deg C)	2010	8	18	4	1.12	15.0	14.0	16.0		14.8	14.5									
Min Temp (deg C)	2010	9	5	4	1.12	11.0	10.5	11.0		11.0	11.5									
Min Temp (deg C)	2010	9	25	4	1.27	13.5	14.0		14.0		13.0	10.5								
Min Temp (deg C)	2010	10	23	4	1.16	-1.2	-2.0		-2.0	-1.0	-1.0									
Min Temp (deg C)	2010	11	15	4	1.33	4.7	3.0		5.8			3.0	5.0							
Min Temp (deg C)	2010	11	16	4	1.14	-0.2	0.0	0.0	-0.5		-1.0									
Min Temp (deg C)	2010	11	21	4	1.12	-5.0		-5.0	-4.5	-5.5	-5.0									
Min Temp (deg C)	2010	11	22	4	1.12	-4.0		-3.9	-3.0	-4.5	-4.5									
Min Temp (deg C)	2010	11	23	4	1.12	6.2		7.5	7.6	7.5	2.0									
Min Temp (deg C)	2010	11	24	4	1.12	-1.4		-1.0	-1.5	-1.5	-2.0									
Min Temp (deg C)	2010	11	25	4	1.12	-8.7		-9.0	-8.6	-8.0	-9.0									
Min Temp (deg C)	2010	11	26	4	1.12	-4.9		-5.0	-5.0	-3.5	-6.0									
Min Temp (deg C)	2010	11	27	4	1.11	-4.5		-4.5		-4.5		-4.0			-5.0					
Min Temp (deg C)	2010	11	28	4	1.12	-6.3		-6.0	-7.8	-6.0	-6.0									
Min Temp (deg C)	2010	12	26	4	1.27	-19.4			-20.5		-19.5	-20.0	-20.5							
Min Temp (deg C)	2011	1	6	4	1.27	-12.9			-15.5		-12.0	-11.0	-12.0							
Min Temp (deg C)	2011	1	18	4	1.27	-23.2			-24.5		-23.0	-25.0	-24.0							
Min Temp (deg C)	2011	1	19	4	1.16	-7.9		-7.5	-9.0		-8.0	-8.5								
Min Temp (deg C)	2011	1	20	4	1.16	-12.9		-12.0	-13.6		-13.5	-15.0								
Min Temp (deg C)	2011	1	21	4	1.16	-14.5		-14.0	-16.0		-14.5	-14.0								
Min Temp (deg C)	2011	1	22	4	1.27	-22.5			-24.0		-21.0	-25.0	-26.5							
Min Temp (deg C)	2011	1	23	4	1.27	-25.6			-27.5		-25.0	-25.5	-27.0							
Min Temp (deg C)	2011	1	29	4	1.27	-9.8			-12.0		-9.0	-9.0	-9.0							
Min Temp (deg C)	2011	3	2	4	1.17	-10.5			-12.5	-10.0	-10.0	-11.5								
Min Temp (deg C)	2011	3	6	4	1.16	-3.7		-4.0	-3.6		-4.0	-4.0								
Min Temp (deg C)	2011	4	25	4	1.2	1.8		2.0	2.0			0.0	1.0							
Min Temp (deg C)	2011	5	12	4	1.12	6.7		7.5	6.0	7.0	5.5									
Min Temp (deg C)	2011	5	30	4	1.17	16.3			16.5	16.0	16.0	15.5								
Min Temp (deg C)	2011	6	1	4	1.17	21.6			22.2	20.5	22.0	20.5								
Min Temp (deg C)	2011	6	8	4	1.27	19.1			18.0		20.0	19.5	18.5							
Min Temp (deg C)	2011	6	12	4	1.12	13.6		13.5	13.2	14.0	13.5									
Min Temp (deg C)	2011	6	28	4	1.16	16.6	14.0		14.5	19.0	15.5									
Min Temp (deg C)	2011	7	24	4	1.12	16.0	16.0	16.0		17.0	14.5									
Min Temp (deg C)	2011	7	28	4	1.14	13.7	13.0	14.5	13.0		13.5									
Min Temp (deg C)	2011	8	11	4	1.27	16.1	16.0		15.5		16.5	16.0								
Min Temp (deg C)	2011	8	19	4	1.14	17.2	17.0	17.0	17.5		17.5									
Min Temp (deg C)	2011	8	20	4	1.14	15.3	15.0	15.0	14.5		17.0									
Min Temp (deg C)	2011	8	21	4	1.12	18.1	18.0	18.5		18.0	17.5									
Min Temp (deg C)	2011	8	22	4	1.12	14.7	14.5	14.5		15.0	15.0									
Min Temp (deg C)	2011	8	23	4	1.14	11.1	9.6	12.0	11.0		11.0									
