VARIABLE	YEAR	MONTH	DAY	NBR STA.	RMSE	MARIEVILLE	ST HYACINTHE 2	IBERVILLE	FARNHAM	SABREVOIS	STE MADELEINE	FLEURY	ST GUILLAUME	STE MARTINE	GRANBY	ST NAZAIRE	DRUMMONDVILLE	PHILIPSBURG	ST BERNARD DE LACOLLE	RICHMOND
Max Temp (deg C)	2005	12	19	4	0.9	-3.1	-4.0	-2.5	-3.0	-2.5										
Max Temp (deg C)	2005	12	20	4	0.9	-3.5	-4.0	-3.0	-3.5	-3.5										
Max Temp (deg C)	2005	12	21	4	0.9	-6.5	-7.0	-6.0	-6.0	-7.0										
Max Temp (deg C)	2005	12	22	4	0.9	1.3	0.5	2.5	0.5	0.5										
Max Temp (deg C)	2005	12	23	4	0.9	1.9	1.0	2.5	2.0	2.0										
Max Temp (deg C)	2005	12	24	4	0.9	2.1	2.0	2.5	1.5	2.0										
Max Temp (deg C)	2005	12	25	4	0.9	1.7	0.5	2.0	3.0	2.0										
Max Temp (deg C)	2005	12	26	4	0.9	-1.3	-1.5	-1.5	0.0	-1.5										
Max Temp (deg C)	2005	12	27	4	0.9	-3.9	-4.0	-3.5	-4.0	-4.0										
Max Temp (deg C)	2005	12	28	4	0.9	1.0	1.0	1.0	2.0	0.0										
Max Temp (deg C)	2005	12	29	4	0.9	1.2	1.0	1.0	2.0	2.0										
Max Temp (deg C)	2005	12	30	4	0.9	-5.3	-6.0	-5.5	-5.5	-2.0										
Max Temp (deg C)	2005	12	31	4	0.9	-10.2	-10.0	-10.5	-9.5	-10.0										
Max Temp (deg C)	2006	1	1	4	0.9	-6.0	-6.0	-6.0	-6.5	-5.0										
Max Temp (deg C)	2006	1	2	4	0.9	-3.9	-4.5	-4.0	-3.0	-3.0										
Max Temp (deg C)	2006	1	3	4	0.9	-7.4	-7.5	-7.0	-8.5	-7.0										
Max Temp (deg C)	2006	1	4	4	0.9	-0.5	0.0	0.0	0.0	-3.0										
Max Temp (deg C)	2006	1	5	4	0.9	0.9	1.0	1.0	1.0	1.0										
Max Temp (deg C)	2006	1	6	4	0.9	-5.2	-5.0	-5.5	-6.5	-3.0										
Max Temp (deg C)	2006	1	7	4	0.9	-9.0	-12.0	-8.5	-6.5	-6.5										
Max Temp (deg C)	2006	1	8	4	0.9	-1.0	-1.5	-1.0	0.0	-0.5										
Max Temp (deg C)	2006	1	9	4	0.9	0.6	0.0	0.5	1.0	2.0										
Max Temp (deg C)	2006	1	10	4	0.9	1.8	2.0	2.5	1.0	0.5										
Max Temp (deg C)	2006	1	11	4	0.9	5.5	5.5	5.5	6.0	5.0										
Max Temp (deg C)	2006	1	12	4	0.9	4.2	3.0	5.0	4.0	5.0										
Max Temp (deg C)	2006	1	13	4	0.9	7.4	6.5	8.0	9.0	6.0										
Max Temp (deg C)	2006	1	14	4	0.9	6.5	6.0	5.5	10.0	7.0										
Max Temp (deg C)	2006	1	15	4	0.9	-12.4	-13.0	-11.5	-13.0	-13.0										
