VARIABLE	YEAR	MONTH	DAY	NBR STA.	RMSE	ST HYACINTHE 2	FLEURY	STE MADELEINE	MARIEVILLE	ST GUILLAUME	ST NAZAIRE	IBERVILLE	FARNHAM	DRUMMONDVILLE	SABREVOIS	ST AMABLE	GRANBY	PIERREVILLE	DANVILLE	STE MARTINE	PHILIPSBURG	ST BERNARD DE LACOLLE	VERCHERES
Max Temp (deg C)	2011	1	30	4	0.9	-9.6	-9.0		-9.0	-11.0		-9.0											
Max Temp (deg C)	2011	1	31	4	0.9	-15.2	-15.0		-15.0	-16.0		-14.0											
Max Temp (deg C)	2011	2	1	4	0.9	-12.4	-12.0	-12.0	-12.0			-13.0											
Max Temp (deg C)	2011	2	2	4	0.9	-9.7	-11.0	-10.5	-8.0			-8.5											
Max Temp (deg C)	2011	2	3	4	0.9	-7.6	-7.5		-8.0		-7.5	-7.0											
Max Temp (deg C)	2011	2	4	4	0.87	-3.6	-3.0	-3.0	-4.0		-4.0												
Max Temp (deg C)	2011	2	5	4	0.87	1.5	1.0	1.5	2.0		1.0												
Max Temp (deg C)	2011	2	6	4	0.9	1.2	2.0	1.0	1.0			1.0											
Max Temp (deg C)	2011	2	7	4	0.88	0.9	0.0	1.5	1.5	0.0													
Max Temp (deg C)	2011	2	8	4	0.87	-9.0	-8.5	-8.0	-9.0		-10.0												
Max Temp (deg C)	2011	2	9	4	0.9	-5.9	-6.5	-5.5	-6.0			-4.0											
Max Temp (deg C)	2011	2	10	4	0.9	-9.8	-10.0	-9.0	-10.0			-9.0											
Max Temp (deg C)	2011	2	11	4	0.9	-5.8	-6.5	-5.5				-4.5	-5.6										
Max Temp (deg C)	2011	2	12	4	0.9	-1.8	-2.0	-1.5	-2.0			-1.0											
Max Temp (deg C)	2011	2	13	4	0.9	2.4	-1.0	2.0	5.0			4.0											
Max Temp (deg C)	2011	2	14	4	0.9	3.2	0.5	4.0	5.0			4.0											
Max Temp (deg C)	2011	2	15	4	0.9	-12.2	-12.0	-12.0	-12.0			-12.0											
Max Temp (deg C)	2011	2	16	4	0.9	-1.3	-4.0	-1.0	1.0			-1.0											
Max Temp (deg C)	2011	2	17	4	0.9	7.1	6.0	7.5	8.0			7.0											
Max Temp (deg C)	2011	2	18	4	0.9	9.6	9.0	8.5	10.0			11.0											
Max Temp (deg C)	2011	2	19	4	0.9	-5.0	-5.0	-4.5	-5.0			-4.5											
Max Temp (deg C)	2011	2	20	4	0.9	-8.6	-8.0	-7.5	-9.0			-9.0											
Max Temp (deg C)	2011	2	21	4	0.9	-9.8	-10.0	-9.0	-10.0			-8.5											
Max Temp (deg C)	2011	2	22	4	0.9	-6.1	-5.0	-5.0			-8.5	-5.2											
Max Temp (deg C)	2011	2	23	4	0.94	-4.0	-5.5	-1.5		-6.0	-5.0												
Max Temp (deg C)	2011	2	24	4	0.9	0.1	-1.0	0.0	1.0			1.0											
Max Temp (deg C)	2011	2	25	4	0.9	-2.6	-2.0	-3.5	-2.0			-3.0											
Max Temp (deg C)	2011	2	26	4	0.9	-9.2	-10.0	-8.0			-10.5	-8.0											
Max Temp (deg C)	2011	2	27	4	0.9	0.6	-1.0	1.5	1.0			2.0											
Max Temp (deg C)	2011	2	28	4	0.87	1.5	1.0	1.5	2.0		1.0												
Max Temp (deg C)	2011	3	1	4	0.87	0.0	0.0	0.0	0.0		0.0												
Max Temp (deg C)	2011	3	2	4	0.9	0.8	1.0	-0.5	1.0			2.0											
