Station Name	QUEBEC/JEAN LESAGE INTL A
Province	QUEBEC
Latitude	46.8
Longitude	-71.38
Elevation	74.4
Climate Identifier	7016294

Created by	WHAT Beta 4.0.5
Created on	14/12/2014

*** FILL PROCEDURE INFO ***

MLR model	Least Absolute Deviations
Precip correction	Not Available
Wet days correction	Not Available
Max number of stations	1
Cutoff distance (km)	100
Cutoff altitude difference (m)	350
Date Start	1985/01/01
Date End	2005/12/31


*** SUMMARY TABLE ***

CLIMATE VARIABLE	TOTAL MISSING	TOTAL FILLED		AVG. NBR STA.	AVG. RMSE		QUEBEC/JEAN LESAGE INTL	LAUZON	CHATEAU RICHER	STE-FOY (U. LAVAL)
Max Temp (deg C)	3653 (47.6 % of total)	3653 (100.0 % of missing)		1.0	0.63		3646 (99.8 % of filled)	7 (0.2 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)
Min Temp (deg C)	3653 (47.6 % of total)	3653 (100.0 % of missing)		1.0	0.61		3646 (99.8 % of filled)	7 (0.2 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)
Mean Temp (deg C)	3653 (47.6 % of total)	3653 (100.0 % of missing)		1.0	0.45		3645 (99.8 % of filled)	8 (0.2 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)
Total Precip (mm)	1764 (23.0 % of total)	1764 (100.0 % of missing)		1.0	3.26		1739 (98.6 % of filled)	3 (0.2 % of filled)	11 (0.6 % of filled)	11 (0.6 % of filled)

TOTAL	12723 (41.5 % of total)	12723 (100.0 % of missing)		---	---		12676 (99.6 % of filled)	25 (0.2 % of filled)	11 (0.1 % of filled)	11 (0.1 % of filled)


*** DETAILED REPORT ***

VARIABLE	YEAR	MONTH	DAY	NBR STA.	RMSE	QUEBEC/JEAN LESAGE INTL A	QUEBEC/JEAN LESAGE INTL	LAUZON	CHATEAU RICHER	STE-FOY (U. LAVAL)
Max Temp (deg C)	1996	4	8	1	0.62	6.3	6.3			
Max Temp (deg C)	1996	4	9	1	0.62	4.7	4.7			
Max Temp (deg C)	1996	4	10	1	0.62	2.6	2.6			
Max Temp (deg C)	1996	4	11	1	0.62	14.1	14.1			
Max Temp (deg C)	1996	4	12	1	0.62	9.2	9.2			
Max Temp (deg C)	1996	4	13	1	0.62	8.1	8.1			
Max Temp (deg C)	1996	4	14	1	0.62	3.4	3.4			
Max Temp (deg C)	1996	4	15	1	0.62	8.8	8.8			
Max Temp (deg C)	1996	4	16	1	0.62	5.2	5.2			
Max Temp (deg C)	1996	4	17	1	0.62	4.8	4.8			
Max Temp (deg C)	1996	4	18	1	0.62	10.6	10.6			
Max Temp (deg C)	1996	4	19	1	0.62	9.3	9.3			
Max Temp (deg C)	1996	4	20	1	0.62	9.6	9.6			
Max Temp (deg C)	1996	4	21	1	0.62	14.9	14.9			
Max Temp (deg C)	1996	4	22	1	0.62	16.5	16.5			
Max Temp (deg C)	1996	4	23	1	0.62	12.9	12.9			
Max Temp (deg C)	1996	4	24	1	0.62	6.1	6.1			
Max Temp (deg C)	1996	4	25	1	0.62	9.4	9.4			
Max Temp (deg C)	1996	4	26	1	0.62	14.1	14.1			
Max Temp (deg C)	1996	4	27	1	0.62	8.0	8.0			
Max Temp (deg C)	1996	4	28	1	0.62	7.9	7.9			
Max Temp (deg C)	1996	4	29	1	0.62	14.7	14.7			
Max Temp (deg C)	1996	4	30	1	0.62	8.4	8.4			
Max Temp (deg C)	1996	5	1	1	0.62	14.4	14.4			
Max Temp (deg C)	1996	5	2	1	0.62	12.3	12.3			
Max Temp (deg C)	1996	5	3	1	0.62	17.7	17.7			
Max Temp (deg C)	1996	5	4	1	0.62	15.8	15.8			
Max Temp (deg C)	1996	5	5	1	0.62	9.5	9.5			
Max Temp (deg C)	1996	5	6	1	0.62	14.3	14.3			
Max Temp (deg C)	1996	5	7	1	0.62	19.6	19.6			
Max Temp (deg C)	1996	5	8	1	0.62	21.0	21.0			
Max Temp (deg C)	1996	5	9	1	0.62	20.6	20.6			
Max Temp (deg C)	1996	5	10	1	0.62	15.7	15.7			
Max Temp (deg C)	1996	5	11	1	0.62	9.9	9.9			
Max Temp (deg C)	1996	5	12	1	0.62	6.0	6.0			
Max Temp (deg C)	1996	5	13	1	0.62	9.7	9.7			
Max Temp (deg C)	1996	5	14	1	0.62	14.5	14.5			
Max Temp (deg C)	1996	5	15	1	0.62	16.9	16.9			
Max Temp (deg C)	1996	5	16	1	0.62	20.8	20.8			
Max Temp (deg C)	1996	5	17	1	0.62	19.9	19.9			
Max Temp (deg C)	1996	5	18	1	0.62	18.9	18.9			
Max Temp (deg C)	1996	5	19	1	0.62	18.0	18.0			
Max Temp (deg C)	1996	5	20	1	0.62	19.7	19.7			
Max Temp (deg C)	1996	5	21	1	0.62	18.9	18.9			
Max Temp (deg C)	1996	5	22	1	0.62	19.7	19.7			
Max Temp (deg C)	1996	5	23	1	0.62	19.6	19.6			
Max Temp (deg C)	1996	5	24	1	0.62	12.9	12.9			
Max Temp (deg C)	1996	5	25	1	0.62	11.5	11.5			
Max Temp (deg C)	1996	5	26	1	0.62	16.6	16.6			
Max Temp (deg C)	1996	5	27	1	0.62	19.0	19.0			
Max Temp (deg C)	1996	5	28	1	0.62	20.2	20.2			
Max Temp (deg C)	1996	5	29	1	0.62	13.7	13.7			
Max Temp (deg C)	1996	5	30	1	0.62	18.1	18.1			
Max Temp (deg C)	1996	5	31	1	0.62	25.2	25.2			
Max Temp (deg C)	1996	6	1	1	0.62	27.4	27.4			
Max Temp (deg C)	1996	6	2	1	0.62	28.1	28.1			
Max Temp (deg C)	1996	6	3	1	0.62	27.5	27.5			
Max Temp (deg C)	1996	6	4	1	0.62	19.9	19.9			
Max Temp (deg C)	1996	6	5	1	0.62	23.0	23.0			
Max Temp (deg C)	1996	6	6	1	0.62	22.2	22.2			
Max Temp (deg C)	1996	6	7	1	0.62	18.0	18.0			
Max Temp (deg C)	1996	6	8	1	0.62	20.5	20.5			
Max Temp (deg C)	1996	6	9	1	0.62	25.6	25.6			
Max Temp (deg C)	1996	6	10	1	0.62	25.6	25.6			
Max Temp (deg C)	1996	6	11	1	0.62	30.2	30.2			
Max Temp (deg C)	1996	6	12	1	0.62	30.5	30.5			
Max Temp (deg C)	1996	6	13	1	0.62	25.5	25.5			
Max Temp (deg C)	1996	6	14	1	0.62	23.8	23.8			
Max Temp (deg C)	1996	6	15	1	1.63	24.3		24.0		
Max Temp (deg C)	1996	6	16	1	1.63	23.3		23.0		
Max Temp (deg C)	1996	6	17	1	0.62	25.2	25.2			
Max Temp (deg C)	1996	6	18	1	0.62	22.8	22.8			
Max Temp (deg C)	1996	6	19	1	0.62	27.1	27.1			
Max Temp (deg C)	1996	6	20	1	0.62	20.0	20.0			
Max Temp (deg C)	1996	6	21	1	0.62	15.6	15.6			
Max Temp (deg C)	1996	6	22	1	0.62	14.8	14.8			
Max Temp (deg C)	1996	6	23	1	0.62	15.2	15.2			
Max Temp (deg C)	1996	6	24	1	0.62	16.4	16.4			
Max Temp (deg C)	1996	6	25	1	0.62	22.2	22.2			
Max Temp (deg C)	1996	6	26	1	0.62	22.5	22.5			
Max Temp (deg C)	1996	6	27	1	0.62	24.5	24.5			
Max Temp (deg C)	1996	6	28	1	0.62	24.4	24.4			
Max Temp (deg C)	1996	6	29	1	0.62	19.3	19.3			
Max Temp (deg C)	1996	6	30	1	0.62	18.7	18.7			
Max Temp (deg C)	1996	7	1	1	0.62	27.9	27.9			
Max Temp (deg C)	1996	7	2	1	0.62	27.8	27.8			
Max Temp (deg C)	1996	7	3	1	0.62	21.7	21.7			
Max Temp (deg C)	1996	7	4	1	1.63	18.2		18.0		
Max Temp (deg C)	1996	7	5	1	1.63	22.3		22.0		
Max Temp (deg C)	1996	7	6	1	0.62	20.8	20.8			
Max Temp (deg C)	1996	7	7	1	1.63	22.8		22.5		
Max Temp (deg C)	1996	7	8	1	0.62	21.7	21.7			
Max Temp (deg C)	1996	7	9	1	0.62	23.1	23.1			
Max Temp (deg C)	1996	7	10	1	0.62	20.1	20.1			
Max Temp (deg C)	1996	7	11	1	0.62	22.8	22.8			
Max Temp (deg C)	1996	7	12	1	0.62	24.9	24.9			
Max Temp (deg C)	1996	7	13	1	0.62	25.8	25.8			
Max Temp (deg C)	1996	7	14	1	0.62	28.7	28.7			
Max Temp (deg C)	1996	7	15	1	0.62	23.3	23.3			
Max Temp (deg C)	1996	7	16	1	0.62	25.5	25.5			
Max Temp (deg C)	1996	7	17	1	0.62	26.4	26.4			
Max Temp (deg C)	1996	7	18	1	0.62	28.1	28.1			
Max Temp (deg C)	1996	7	19	1	0.62	20.4	20.4			
Max Temp (deg C)	1996	7	20	1	0.62	16.5	16.5			
Max Temp (deg C)	1996	7	21	1	0.62	21.5	21.5			
Max Temp (deg C)	1996	7	22	1	0.62	25.8	25.8			
Max Temp (deg C)	1996	7	23	1	0.62	24.8	24.8			
Max Temp (deg C)	1996	7	24	1	0.62	26.7	26.7			
Max Temp (deg C)	1996	7	25	1	0.62	21.5	21.5			
Max Temp (deg C)	1996	7	26	1	0.62	25.4	25.4			
Max Temp (deg C)	1996	7	27	1	0.62	24.0	24.0			
Max Temp (deg C)	1996	7	28	1	0.62	23.8	23.8			
Max Temp (deg C)	1996	7	29	1	0.62	24.8	24.8			
Max Temp (deg C)	1996	7	30	1	0.62	25.2	25.2			
Max Temp (deg C)	1996	7	31	1	0.62	23.8	23.8			
Max Temp (deg C)	1996	8	1	1	0.62	21.5	21.5			
Max Temp (deg C)	1996	8	2	1	0.62	23.4	23.4			
Max Temp (deg C)	1996	8	3	1	0.62	27.4	27.4			
Max Temp (deg C)	1996	8	4	1	0.62	28.2	28.2			
Max Temp (deg C)	1996	8	5	1	0.62	30.5	30.5			
Max Temp (deg C)	1996	8	6	1	0.62	30.3	30.3			
Max Temp (deg C)	1996	8	7	1	0.62	30.6	30.6			
Max Temp (deg C)	1996	8	8	1	0.62	24.7	24.7			
Max Temp (deg C)	1996	8	9	1	0.62	26.2	26.2			
Max Temp (deg C)	1996	8	10	1	0.62	22.0	22.0			
Max Temp (deg C)	1996	8	11	1	0.62	22.1	22.1			
Max Temp (deg C)	1996	8	12	1	0.62	23.4	23.4			
Max Temp (deg C)	1996	8	13	1	0.62	24.6	24.6			
Max Temp (deg C)	1996	8	14	1	0.62	23.6	23.6			
Max Temp (deg C)	1996	8	15	1	0.62	25.0	25.0			
Max Temp (deg C)	1996	8	16	1	0.62	22.9	22.9			
Max Temp (deg C)	1996	8	17	1	0.62	24.0	24.0			
Max Temp (deg C)	1996	8	18	1	0.62	22.7	22.7			
Max Temp (deg C)	1996	8	19	1	0.62	22.5	22.5			
Max Temp (deg C)	1996	8	20	1	0.62	26.1	26.1			
Max Temp (deg C)	1996	8	21	1	0.62	26.2	26.2			
Max Temp (deg C)	1996	8	22	1	0.62	25.0	25.0			
Max Temp (deg C)	1996	8	23	1	0.62	23.1	23.1			
Max Temp (deg C)	1996	8	24	1	0.62	24.6	24.6			
Max Temp (deg C)	1996	8	25	1	0.62	26.5	26.5			
Max Temp (deg C)	1996	8	26	1	0.62	20.1	20.1			
Max Temp (deg C)	1996	8	27	1	0.62	19.1	19.1			
Max Temp (deg C)	1996	8	28	1	0.62	23.8	23.8			
Max Temp (deg C)	1996	8	29	1	0.62	22.7	22.7			
Max Temp (deg C)	1996	8	30	1	0.62	18.2	18.2			
Max Temp (deg C)	1996	8	31	1	0.62	23.5	23.5			
Max Temp (deg C)	1996	9	1	1	0.62	26.8	26.8			
