Station Name	QUEBEC/JEAN LESAGE INTL A
Province	QUEBEC
Latitude	46.8
Longitude	-71.38
Elevation	74.4
Climate Identifier	7016294

Created by	WHAT Beta 4.0.5
Created on	14/12/2014

*** FILL PROCEDURE INFO ***

MLR model	Least Absolute Deviations
Precip correction	Not Available
Wet days correction	Not Available
Max number of stations	1
Cutoff distance (km)	100
Cutoff altitude difference (m)	350
Date Start	1985/01/01
Date End	2005/12/31


*** SUMMARY TABLE ***

CLIMATE VARIABLE	TOTAL MISSING	TOTAL FILLED		AVG. NBR STA.	AVG. RMSE		QUEBEC/JEAN LESAGE INTL	LAUZON	CHATEAU RICHER	STE-FOY (U. LAVAL)
Max Temp (deg C)	3653 (47.6 % of total)	3653 (100.0 % of missing)		1.0	0.63		3646 (99.8 % of filled)	7 (0.2 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)
Min Temp (deg C)	3653 (47.6 % of total)	3653 (100.0 % of missing)		1.0	0.61		3646 (99.8 % of filled)	7 (0.2 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)
Mean Temp (deg C)	3653 (47.6 % of total)	3653 (100.0 % of missing)		1.0	0.45		3645 (99.8 % of filled)	8 (0.2 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)
Total Precip (mm)	1764 (23.0 % of total)	1764 (100.0 % of missing)		1.0	3.26		1739 (98.6 % of filled)	3 (0.2 % of filled)	11 (0.6 % of filled)	11 (0.6 % of filled)

TOTAL	12723 (41.5 % of total)	12723 (100.0 % of missing)		---	---		12676 (99.6 % of filled)	25 (0.2 % of filled)	11 (0.1 % of filled)	11 (0.1 % of filled)


*** DETAILED REPORT ***

VARIABLE	YEAR	MONTH	DAY	NBR STA.	RMSE	QUEBEC/JEAN LESAGE INTL A	QUEBEC/JEAN LESAGE INTL	LAUZON	CHATEAU RICHER	STE-FOY (U. LAVAL)
Min Temp (deg C)	2004	6	14	1	0.61	13.8	13.8			
Min Temp (deg C)	2004	6	15	1	0.61	11.4	11.4			
Min Temp (deg C)	2004	6	16	1	0.61	7.7	7.7			
Min Temp (deg C)	2004	6	17	1	0.61	11.3	11.3			
Min Temp (deg C)	2004	6	18	1	0.61	15.2	15.2			
Min Temp (deg C)	2004	6	19	1	0.61	5.9	5.9			
Min Temp (deg C)	2004	6	20	1	0.61	5.5	5.5			
Min Temp (deg C)	2004	6	21	1	0.61	10.0	10.0			
Min Temp (deg C)	2004	6	22	1	0.61	10.9	10.9			
Min Temp (deg C)	2004	6	23	1	0.61	11.8	11.8			
Min Temp (deg C)	2004	6	24	1	0.61	12.2	12.2			
Min Temp (deg C)	2004	6	25	1	0.61	8.6	8.6			
Min Temp (deg C)	2004	6	26	1	0.61	6.7	6.7			
Min Temp (deg C)	2004	6	27	1	0.61	7.5	7.5			
Min Temp (deg C)	2004	6	28	1	0.61	5.9	5.9			
Min Temp (deg C)	2004	6	29	1	0.61	8.4	8.4			
Min Temp (deg C)	2004	6	30	1	0.61	13.2	13.2			
Min Temp (deg C)	2004	7	1	1	0.61	11.6	11.6			
Min Temp (deg C)	2004	7	2	1	0.61	13.3	13.3			
Min Temp (deg C)	2004	7	3	1	0.61	12.4	12.4			
Min Temp (deg C)	2004	7	4	1	0.61	13.4	13.4			
Min Temp (deg C)	2004	7	5	1	0.61	15.8	15.8			
Min Temp (deg C)	2004	7	6	1	0.61	16.3	16.3			
Min Temp (deg C)	2004	7	7	1	0.61	11.4	11.4			
Min Temp (deg C)	2004	7	8	1	0.61	14.7	14.7			
Min Temp (deg C)	2004	7	9	1	0.61	12.8	12.8			
Min Temp (deg C)	2004	7	10	1	0.61	11.3	11.3			
Min Temp (deg C)	2004	7	11	1	0.61	11.7	11.7			
Min Temp (deg C)	2004	7	12	1	0.61	12.7	12.7			
Min Temp (deg C)	2004	7	13	1	0.61	17.7	17.7			
Min Temp (deg C)	2004	7	14	1	0.61	17.1	17.1			
Min Temp (deg C)	2004	7	15	1	0.61	16.8	16.8			
Min Temp (deg C)	2004	7	16	1	0.61	16.1	16.1			
Min Temp (deg C)	2004	7	17	1	0.61	14.9	14.9			
Min Temp (deg C)	2004	7	18	1	0.61	14.8	14.8			
Min Temp (deg C)	2004	7	19	1	0.61	15.8	15.8			
Min Temp (deg C)	2004	7	20	1	0.61	16.6	16.6			
Min Temp (deg C)	2004	7	21	1	0.61	15.4	15.4			
Min Temp (deg C)	2004	7	22	1	0.61	17.6	17.6			
Min Temp (deg C)	2004	7	23	1	0.61	13.7	13.7			
Min Temp (deg C)	2004	7	24	1	0.61	13.2	13.2			
Min Temp (deg C)	2004	7	25	1	0.61	12.4	12.4			
Min Temp (deg C)	2004	7	26	1	0.61	10.5	10.5			
Min Temp (deg C)	2004	7	27	1	0.61	11.9	11.9			
Min Temp (deg C)	2004	7	28	1	0.61	15.2	15.2			
Min Temp (deg C)	2004	7	29	1	0.61	16.6	16.6			
Min Temp (deg C)	2004	7	30	1	0.61	17.5	17.5			
Min Temp (deg C)	2004	7	31	1	0.61	20.0	20.0			
Min Temp (deg C)	2004	8	1	1	0.61	15.2	15.2			
Min Temp (deg C)	2004	8	2	1	0.61	12.9	12.9			
Min Temp (deg C)	2004	8	3	1	0.61	15.1	15.1			
Min Temp (deg C)	2004	8	4	1	0.61	11.7	11.7			
Min Temp (deg C)	2004	8	5	1	0.61	10.7	10.7			
Min Temp (deg C)	2004	8	6	1	0.61	11.5	11.5			
Min Temp (deg C)	2004	8	7	1	0.61	12.4	12.4			
Min Temp (deg C)	2004	8	8	1	0.61	11.7	11.7			
Min Temp (deg C)	2004	8	9	1	0.61	11.5	11.5			
Min Temp (deg C)	2004	8	10	1	0.61	12.5	12.5			
Min Temp (deg C)	2004	8	11	1	0.61	16.9	16.9			
Min Temp (deg C)	2004	8	12	1	0.61	16.3	16.3			
Min Temp (deg C)	2004	8	13	1	0.61	16.0	16.0			
Min Temp (deg C)	2004	8	14	1	0.61	12.4	12.4			
Min Temp (deg C)	2004	8	15	1	0.61	10.7	10.7			
Min Temp (deg C)	2004	8	16	1	0.61	13.0	13.0			
Min Temp (deg C)	2004	8	17	1	0.61	11.5	11.5			
Min Temp (deg C)	2004	8	18	1	0.61	13.2	13.2			
Min Temp (deg C)	2004	8	19	1	0.61	11.4	11.4			
Min Temp (deg C)	2004	8	20	1	0.61	9.7	9.7			
Min Temp (deg C)	2004	8	21	1	0.61	8.1	8.1			
Min Temp (deg C)	2004	8	22	1	0.61	6.5	6.5			
Min Temp (deg C)	2004	8	23	1	0.61	8.3	8.3			
Min Temp (deg C)	2004	8	24	1	0.61	5.4	5.4			
Min Temp (deg C)	2004	8	25	1	0.61	6.8	6.8			
Min Temp (deg C)	2004	8	26	1	0.61	13.6	13.6			
Min Temp (deg C)	2004	8	27	1	0.61	18.2	18.2			
Min Temp (deg C)	2004	8	28	1	0.61	18.3	18.3			
Min Temp (deg C)	2004	8	29	1	0.61	13.6	13.6			
Min Temp (deg C)	2004	8	30	1	0.61	12.4	12.4			
Min Temp (deg C)	2004	8	31	1	0.61	12.7	12.7			
Min Temp (deg C)	2004	9	1	1	0.61	8.2	8.2			
Min Temp (deg C)	2004	9	2	1	0.61	4.3	4.3			
Min Temp (deg C)	2004	9	3	1	0.61	8.1	8.1			
Min Temp (deg C)	2004	9	4	1	0.61	10.2	10.2			
Min Temp (deg C)	2004	9	5	1	0.61	9.5	9.5			
Min Temp (deg C)	2004	9	6	1	0.61	11.3	11.3			
Min Temp (deg C)	2004	9	7	1	0.61	12.0	12.0			
Min Temp (deg C)	2004	9	8	1	0.61	11.8	11.8			
Min Temp (deg C)	2004	9	9	1	0.61	10.9	10.9			
Min Temp (deg C)	2004	9	10	1	0.61	9.4	9.4			
Min Temp (deg C)	2004	9	11	1	0.61	5.6	5.6			
Min Temp (deg C)	2004	9	12	1	0.61	8.5	8.5			
Min Temp (deg C)	2004	9	13	1	0.61	4.7	4.7			
Min Temp (deg C)	2004	9	14	1	0.61	5.4	5.4			
Min Temp (deg C)	2004	9	15	1	0.61	8.8	8.8			
Min Temp (deg C)	2004	9	16	1	0.61	14.6	14.6			
Min Temp (deg C)	2004	9	17	1	0.61	9.6	9.6			
Min Temp (deg C)	2004	9	18	1	0.61	5.6	5.6			
Min Temp (deg C)	2004	9	19	1	0.61	4.3	4.3			
Min Temp (deg C)	2004	9	20	1	0.61	2.6	2.6			
Min Temp (deg C)	2004	9	21	1	0.61	10.3	10.3			
Min Temp (deg C)	2004	9	22	1	0.61	8.6	8.6			
Min Temp (deg C)	2004	9	23	1	0.61	8.1	8.1			
Min Temp (deg C)	2004	9	24	1	0.61	8.0	8.0			
Min Temp (deg C)	2004	9	25	1	0.61	11.0	11.0			
Min Temp (deg C)	2004	9	26	1	0.61	5.0	5.0			
Min Temp (deg C)	2004	9	27	1	0.61	8.2	8.2			
Min Temp (deg C)	2004	9	28	1	0.61	5.9	5.9			
Min Temp (deg C)	2004	9	29	1	0.61	4.1	4.1			
Min Temp (deg C)	2004	9	30	1	0.61	2.2	2.2			
Min Temp (deg C)	2004	10	1	1	0.61	4.2	4.2			
Min Temp (deg C)	2004	10	2	1	0.61	5.0	5.0			
Min Temp (deg C)	2004	10	3	1	0.61	1.5	1.5			
Min Temp (deg C)	2004	10	4	1	0.61	0.7	0.7			
Min Temp (deg C)	2004	10	5	1	0.61	-1.7	-1.7			
Min Temp (deg C)	2004	10	6	1	0.61	-0.3	-0.3			
Min Temp (deg C)	2004	10	7	1	0.61	4.7	4.7			
Min Temp (deg C)	2004	10	8	1	0.61	7.1	7.1			
Min Temp (deg C)	2004	10	9	1	0.61	9.8	9.8			
Min Temp (deg C)	2004	10	10	1	0.61	8.2	8.2			
Min Temp (deg C)	2004	10	11	1	0.61	3.2	3.2			
Min Temp (deg C)	2004	10	12	1	0.61	0.5	0.5			
Min Temp (deg C)	2004	10	13	1	0.61	1.7	1.7			
Min Temp (deg C)	2004	10	14	1	0.61	4.1	4.1			
Min Temp (deg C)	2004	10	15	1	0.61	8.7	8.7			
Min Temp (deg C)	2004	10	16	1	0.61	8.2	8.2			
Min Temp (deg C)	2004	10	17	1	0.61	5.6	5.6			
Min Temp (deg C)	2004	10	18	1	0.61	1.0	1.0			
Min Temp (deg C)	2004	10	19	1	0.61	-0.9	-0.9			
Min Temp (deg C)	2004	10	20	1	0.61	0.1	0.1			
Min Temp (deg C)	2004	10	21	1	0.61	1.2	1.2			
Min Temp (deg C)	2004	10	22	1	0.61	4.8	4.8			
Min Temp (deg C)	2004	10	23	1	0.61	1.6	1.6			
Min Temp (deg C)	2004	10	24	1	0.61	3.2	3.2			
Min Temp (deg C)	2004	10	25	1	0.61	5.5	5.5			
Min Temp (deg C)	2004	10	26	1	0.61	5.0	5.0			
Min Temp (deg C)	2004	10	27	1	0.61	1.0	1.0			
Min Temp (deg C)	2004	10	28	1	0.61	-0.9	-0.9			
Min Temp (deg C)	2004	10	29	1	0.61	-3.6	-3.6			
Min Temp (deg C)	2004	10	30	1	0.61	-1.9	-1.9			
Min Temp (deg C)	2004	10	31	1	0.61	6.3	6.3			
Min Temp (deg C)	2004	11	1	1	0.61	3.5	3.5			
Min Temp (deg C)	2004	11	2	1	0.61	2.5	2.5			
Min Temp (deg C)	2004	11	3	1	0.61	1.6	1.6			
Min Temp (deg C)	2004	11	4	1	0.61	-2.1	-2.1			
Min Temp (deg C)	2004	11	5	1	0.61	0.2	0.2			
Min Temp (deg C)	2004	11	6	1	0.61	-0.9	-0.9			
Min Temp (deg C)	2004	11	7	1	0.61	-1.7	-1.7			
Min Temp (deg C)	2004	11	8	1	0.61	-5.6	-5.6			
Min Temp (deg C)	2004	11	9	1	0.61	-8.4	-8.4			
Min Temp (deg C)	2004	11	10	1	0.61	-9.7	-9.7			
Min Temp (deg C)	2004	11	11	1	0.61	-8.4	-8.4			
Min Temp (deg C)	2004	11	12	1	0.61	-9.9	-9.9			
Min Temp (deg C)	2004	11	13	1	0.61	-9.0	-9.0			
Min Temp (deg C)	2004	11	14	1	0.61	-11.7	-11.7			
Min Temp (deg C)	2004	11	15	1	0.61	-9.0	-9.0			
Min Temp (deg C)	2004	11	16	1	0.61	-2.6	-2.6			
Min Temp (deg C)	2004	11	17	1	0.61	-3.2	-3.2			
Min Temp (deg C)	2004	11	18	1	0.61	0.8	0.8			
Min Temp (deg C)	2004	11	19	1	0.61	-1.0	-1.0			
Min Temp (deg C)	2004	11	20	1	0.61	-3.6	-3.6			
Min Temp (deg C)	2004	11	21	1	0.61	1.6	1.6			
Min Temp (deg C)	2004	11	22	1	0.61	-2.6	-2.6			
Min Temp (deg C)	2004	11	23	1	0.61	-3.7	-3.7			
Min Temp (deg C)	2004	11	24	1	0.61	2.6	2.6			
Min Temp (deg C)	2004	11	25	1	0.61	-3.8	-3.8			
Min Temp (deg C)	2004	11	26	1	0.61	-7.7	-7.7			
Min Temp (deg C)	2004	11	27	1	0.61	-9.6	-9.6			
Min Temp (deg C)	2004	11	28	1	0.61	0.1	0.1			
Min Temp (deg C)	2004	11	29	1	0.61	-3.4	-3.4			
Min Temp (deg C)	2004	11	30	1	0.61	-6.7	-6.7			
Min Temp (deg C)	2004	12	1	1	0.61	-2.7	-2.7			
Min Temp (deg C)	2004	12	2	1	0.61	-13.9	-13.9			
Min Temp (deg C)	2004	12	3	1	0.61	-16.8	-16.8			
Min Temp (deg C)	2004	12	4	1	0.61	-14.1	-14.1			
Min Temp (deg C)	2004	12	5	1	0.61	-15.8	-15.8			
Min Temp (deg C)	2004	12	6	1	0.61	-18.1	-18.1			
Min Temp (deg C)	2004	12	7	1	0.61	-15.9	-15.9			
Min Temp (deg C)	2004	12	8	1	0.61	-8.2	-8.2			
Min Temp (deg C)	2004	12	9	1	0.61	-9.8	-9.8			
Min Temp (deg C)	2004	12	10	1	0.61	-8.7	-8.7			
Min Temp (deg C)	2004	12	11	1	0.61	-3.7	-3.7			
Min Temp (deg C)	2004	12	12	1	0.61	-7.5	-7.5			
Min Temp (deg C)	2004	12	13	1	0.61	-6.7	-6.7			
Min Temp (deg C)	2004	12	14	1	0.61	-15.4	-15.4			
Min Temp (deg C)	2004	12	15	1	0.61	-19.5	-19.5			
Min Temp (deg C)	2004	12	16	1	0.61	-12.9	-12.9			
Min Temp (deg C)	2004	12	17	1	0.61	-19.3	-19.3			
Min Temp (deg C)	2004	12	18	1	0.61	-21.4	-21.4			
Min Temp (deg C)	2004	12	19	1	0.61	-14.1	-14.1			
Min Temp (deg C)	2004	12	20	1	0.61	-25.1	-25.1			
Min Temp (deg C)	2004	12	21	1	0.61	-26.6	-26.6			
Min Temp (deg C)	2004	12	22	1	0.61	-17.4	-17.4			
Min Temp (deg C)	2004	12	23	1	0.61	-4.9	-4.9			
Min Temp (deg C)	2004	12	24	1	0.61	-19.3	-19.3			
Min Temp (deg C)	2004	12	25	1	0.61	-21.7	-21.7			
Min Temp (deg C)	2004	12	26	1	0.61	-18.5	-18.5			
Min Temp (deg C)	2004	12	27	1	0.61	-18.5	-18.5			
Min Temp (deg C)	2004	12	28	1	0.61	-20.1	-20.1			
Min Temp (deg C)	2004	12	29	1	0.61	-20.5	-20.5			
Min Temp (deg C)	2004	12	30	1	0.61	-19.8	-19.8			
Min Temp (deg C)	2004	12	31	1	0.61	-11.7	-11.7			
Min Temp (deg C)	2005	1	1	1	0.61	-15.6	-15.6			
Min Temp (deg C)	2005	1	2	1	0.61	-19.5	-19.5			
Min Temp (deg C)	2005	1	3	1	0.61	-13.9	-13.9			
Min Temp (deg C)	2005	1	4	1	0.61	-13.8	-13.8			
Min Temp (deg C)	2005	1	5	1	0.61	-20.5	-20.5			
Min Temp (deg C)	2005	1	6	1	0.61	-21.7	-21.7			
Min Temp (deg C)	2005	1	7	1	0.61	-11.0	-11.0			
Min Temp (deg C)	2005	1	8	1	0.61	-15.0	-15.0			
Min Temp (deg C)	2005	1	9	1	0.61	-16.3	-16.3			
Min Temp (deg C)	2005	1	10	1	0.61	-12.1	-12.1			
Min Temp (deg C)	2005	1	11	1	0.61	-21.4	-21.4			
Min Temp (deg C)	2005	1	12	1	0.61	-19.5	-19.5			
Min Temp (deg C)	2005	1	13	1	0.61	-6.5	-6.5			
Min Temp (deg C)	2005	1	14	1	0.61	-15.8	-15.8			
Min Temp (deg C)	2005	1	15	1	0.61	-20.6	-20.6			
Min Temp (deg C)	2005	1	16	1	0.61	-17.5	-17.5			
Min Temp (deg C)	2005	1	17	1	0.61	-20.3	-20.3			
Min Temp (deg C)	2005	1	18	1	0.61	-25.0	-25.0			
Min Temp (deg C)	2005	1	19	1	0.61	-26.4	-26.4			
Min Temp (deg C)	2005	1	20	1	0.61	-25.1	-25.1			
Min Temp (deg C)	2005	1	21	1	0.61	-28.7	-28.7			
Min Temp (deg C)	2005	1	22	1	0.61	-30.6	-30.6			
Min Temp (deg C)	2005	1	23	1	0.61	-27.0	-27.0			
Min Temp (deg C)	2005	1	24	1	0.61	-29.1	-29.1			
Min Temp (deg C)	2005	1	25	1	0.61	-20.5	-20.5			
Min Temp (deg C)	2005	1	26	1	0.61	-21.3	-21.3			
Min Temp (deg C)	2005	1	27	1	0.61	-25.3	-25.3			
Min Temp (deg C)	2005	1	28	1	0.61	-26.7	-26.7			
Min Temp (deg C)	2005	1	29	1	0.61	-20.3	-20.3			
Min Temp (deg C)	2005	1	30	1	0.61	-13.5	-13.5			
Min Temp (deg C)	2005	1	31	1	0.61	-17.3	-17.3			
Min Temp (deg C)	2005	2	1	1	0.61	-18.5	-18.5			
Min Temp (deg C)	2005	2	2	1	0.61	-18.4	-18.4			
Min Temp (deg C)	2005	2	3	1	0.61	-12.9	-12.9			
Min Temp (deg C)	2005	2	4	1	0.61	-12.1	-12.1			
Min Temp (deg C)	2005	2	5	1	0.61	-10.8	-10.8			
Min Temp (deg C)	2005	2	6	1	0.61	-6.1	-6.1			
Min Temp (deg C)	2005	2	7	1	0.61	-7.1	-7.1			
Min Temp (deg C)	2005	2	8	1	0.61	0.5	0.5			
Min Temp (deg C)	2005	2	9	1	0.61	-4.6	-4.6			
Min Temp (deg C)	2005	2	10	1	0.61	-6.4	-6.4			
Min Temp (deg C)	2005	2	11	1	0.61	-7.1	-7.1			
Min Temp (deg C)	2005	2	12	1	0.61	-9.3	-9.3			
Min Temp (deg C)	2005	2	13	1	0.61	-14.5	-14.5			
Min Temp (deg C)	2005	2	14	1	0.61	-19.0	-19.0			
Min Temp (deg C)	2005	2	15	1	0.61	-3.1	-3.1			
Min Temp (deg C)	2005	2	16	1	0.61	-6.6	-6.6			
Min Temp (deg C)	2005	2	17	1	0.61	-15.9	-15.9			
Min Temp (deg C)	2005	2	18	1	0.61	-18.2	-18.2			
Min Temp (deg C)	2005	2	19	1	0.61	-20.7	-20.7			
Min Temp (deg C)	2005	2	20	1	0.61	-23.2	-23.2			
Min Temp (deg C)	2005	2	21	1	0.61	-21.2	-21.2			
Min Temp (deg C)	2005	2	22	1	0.61	-10.1	-10.1			
Min Temp (deg C)	2005	2	23	1	0.61	-14.2	-14.2			
Min Temp (deg C)	2005	2	24	1	0.61	-24.0	-24.0			
Min Temp (deg C)	2005	2	25	1	0.61	-20.2	-20.2			
Min Temp (deg C)	2005	2	26	1	0.61	-24.2	-24.2			
Min Temp (deg C)	2005	2	27	1	0.61	-15.1	-15.1			
Min Temp (deg C)	2005	2	28	1	0.61	-17.7	-17.7			
Min Temp (deg C)	2005	3	1	1	0.61	-5.8	-5.8			
Min Temp (deg C)	2005	3	2	1	0.61	-8.0	-8.0			
Min Temp (deg C)	2005	3	3	1	0.61	-14.8	-14.8			
Min Temp (deg C)	2005	3	4	1	0.61	-14.7	-14.7			
Min Temp (deg C)	2005	3	5	1	0.61	-12.9	-12.9			
Min Temp (deg C)	2005	3	6	1	0.61	-14.0	-14.0			
Min Temp (deg C)	2005	3	7	1	0.61	-23.9	-23.9			
Min Temp (deg C)	2005	3	8	1	0.61	-12.3	-12.3			
Min Temp (deg C)	2005	3	9	1	0.61	-18.5	-18.5			
Min Temp (deg C)	2005	3	10	1	0.61	-21.2	-21.2			
Min Temp (deg C)	2005	3	11	1	0.61	-20.1	-20.1			
Min Temp (deg C)	2005	3	12	1	0.61	-5.3	-5.3			
Min Temp (deg C)	2005	3	13	1	0.61	-7.8	-7.8			
Min Temp (deg C)	2005	3	14	1	0.61	-9.6	-9.6			
Min Temp (deg C)	2005	3	15	1	0.61	-3.0	-3.0			
Min Temp (deg C)	2005	3	16	1	0.61	-3.2	-3.2			
Min Temp (deg C)	2005	3	17	1	0.61	-4.8	-4.8			
Min Temp (deg C)	2005	3	18	1	0.61	-6.2	-6.2			
Min Temp (deg C)	2005	3	19	1	0.61	-6.1	-6.1			
Min Temp (deg C)	2005	3	20	1	0.61	-4.8	-4.8			
Min Temp (deg C)	2005	3	21	1	0.61	-6.1	-6.1			
Min Temp (deg C)	2005	3	22	1	0.61	-3.1	-3.1			
Min Temp (deg C)	2005	3	23	1	0.61	-4.4	-4.4			
Min Temp (deg C)	2005	3	24	1	0.61	-4.5	-4.5			
Min Temp (deg C)	2005	3	25	1	0.61	-9.3	-9.3			
Min Temp (deg C)	2005	3	26	1	0.61	-10.7	-10.7			
Min Temp (deg C)	2005	3	27	1	0.61	-11.0	-11.0			
Min Temp (deg C)	2005	3	28	1	0.61	-2.9	-2.9			
Min Temp (deg C)	2005	3	29	1	0.61	-2.5	-2.5			
Min Temp (deg C)	2005	3	30	1	0.61	-5.0	-5.0			
Min Temp (deg C)	2005	3	31	1	0.61	-0.0	0.0			
Min Temp (deg C)	2005	4	1	1	0.61	-0.4	-0.4			
Min Temp (deg C)	2005	4	2	1	0.61	-0.4	-0.4			
Min Temp (deg C)	2005	4	3	1	0.61	2.0	2.0			
Min Temp (deg C)	2005	4	4	1	0.61	0.4	0.4			
Min Temp (deg C)	2005	4	5	1	0.61	-0.2	-0.2			
Min Temp (deg C)	2005	4	6	1	0.61	-1.1	-1.1			
Min Temp (deg C)	2005	4	7	1	0.61	-0.3	-0.3			
Min Temp (deg C)	2005	4	8	1	0.61	-1.2	-1.2			
Min Temp (deg C)	2005	4	9	1	0.61	-3.4	-3.4			
Min Temp (deg C)	2005	4	10	1	0.61	0.3	0.3			
Min Temp (deg C)	2005	4	11	1	0.61	-3.9	-3.9			
Min Temp (deg C)	2005	4	12	1	0.61	-3.1	-3.1			
Min Temp (deg C)	2005	4	13	1	0.61	-0.0	0.0			
Min Temp (deg C)	2005	4	14	1	0.61	0.2	0.2			
Min Temp (deg C)	2005	4	15	1	0.61	-1.4	-1.4			
Min Temp (deg C)	2005	4	16	1	0.61	-3.6	-3.6			
Min Temp (deg C)	2005	4	17	1	0.61	-1.6	-1.6			
Min Temp (deg C)	2005	4	18	1	0.61	2.5	2.5			
Min Temp (deg C)	2005	4	19	1	0.61	1.5	1.5			
Min Temp (deg C)	2005	4	20	1	0.61	1.9	1.9			
Min Temp (deg C)	2005	4	21	1	0.61	-2.7	-2.7			
Min Temp (deg C)	2005	4	22	1	0.61	-3.5	-3.5			
Min Temp (deg C)	2005	4	23	1	0.61	2.5	2.5			
Min Temp (deg C)	2005	4	24	1	0.61	4.0	4.0			
Min Temp (deg C)	2005	4	25	1	0.61	4.1	4.1			
Min Temp (deg C)	2005	4	26	1	0.61	3.9	3.9			
Min Temp (deg C)	2005	4	27	1	0.61	3.1	3.1			
Min Temp (deg C)	2005	4	28	1	0.61	0.9	0.9			
Min Temp (deg C)	2005	4	29	1	0.61	1.3	1.3			
Min Temp (deg C)	2005	4	30	1	0.61	4.3	4.3			
Min Temp (deg C)	2005	5	1	1	0.61	4.3	4.3			
Min Temp (deg C)	2005	5	2	1	0.61	2.6	2.6			
Min Temp (deg C)	2005	5	3	1	0.61	2.6	2.6			
Min Temp (deg C)	2005	5	4	1	0.61	-0.4	-0.4			
Min Temp (deg C)	2005	5	5	1	0.61	-1.3	-1.3			
Min Temp (deg C)	2005	5	6	1	0.61	2.2	2.2			
Min Temp (deg C)	2005	5	7	1	0.61	5.0	5.0			
Min Temp (deg C)	2005	5	8	1	0.61	8.8	8.8			
Min Temp (deg C)	2005	5	9	1	0.61	8.5	8.5			
Min Temp (deg C)	2005	5	10	1	0.61	9.3	9.3			
Min Temp (deg C)	2005	5	11	1	0.61	6.0	6.0			
Min Temp (deg C)	2005	5	12	1	0.61	-0.3	-0.3			
Min Temp (deg C)	2005	5	13	1	0.61	-3.6	-3.6			
Min Temp (deg C)	2005	5	14	1	0.61	2.0	2.0			
Min Temp (deg C)	2005	5	15	1	0.61	6.6	6.6			
Min Temp (deg C)	2005	5	16	1	0.61	7.6	7.6			
Min Temp (deg C)	2005	5	17	1	0.61	7.2	7.2			
Min Temp (deg C)	2005	5	18	1	0.61	6.0	6.0			
Min Temp (deg C)	2005	5	19	1	0.61	6.2	6.2			
Min Temp (deg C)	2005	5	20	1	0.61	7.0	7.0			
Min Temp (deg C)	2005	5	21	1	0.61	6.6	6.6			
Min Temp (deg C)	2005	5	22	1	0.61	7.6	7.6			
Min Temp (deg C)	2005	5	23	1	0.61	7.2	7.2			
Min Temp (deg C)	2005	5	24	1	0.61	7.7	7.7			
Min Temp (deg C)	2005	5	25	1	0.61	7.7	7.7			
Min Temp (deg C)	2005	5	26	1	0.61	8.1	8.1			
Min Temp (deg C)	2005	5	27	1	0.61	7.2	7.2			
Min Temp (deg C)	2005	5	28	1	0.61	7.3	7.3			
Min Temp (deg C)	2005	5	29	1	0.61	10.5	10.5			
Min Temp (deg C)	2005	5	30	1	0.61	10.5	10.5			
Min Temp (deg C)	2005	5	31	1	0.61	12.4	12.4			
Min Temp (deg C)	2005	6	1	1	0.61	9.4	9.4			
Min Temp (deg C)	2005	6	2	1	0.61	9.0	9.0			
Min Temp (deg C)	2005	6	3	1	0.61	12.0	12.0			
Min Temp (deg C)	2005	6	4	1	0.61	13.1	13.1			
Min Temp (deg C)	2005	6	5	1	0.61	12.2	12.2			
Min Temp (deg C)	2005	6	6	1	0.61	11.3	11.3			
Min Temp (deg C)	2005	6	7	1	0.61	12.5	12.5			
Min Temp (deg C)	2005	6	8	1	0.61	8.0	8.0			
Min Temp (deg C)	2005	6	9	1	0.61	6.6	6.6			
Min Temp (deg C)	2005	6	10	1	0.61	12.3	12.3			
Min Temp (deg C)	2005	6	11	1	0.61	16.3	16.3			
Min Temp (deg C)	2005	6	12	1	0.61	15.0	15.0			
Min Temp (deg C)	2005	6	13	1	0.61	12.0	12.0			
Min Temp (deg C)	2005	6	14	1	0.61	12.2	12.2			
Min Temp (deg C)	2005	6	15	1	0.61	9.7	9.7			
Min Temp (deg C)	2005	6	16	1	0.61	10.2	10.2			
Min Temp (deg C)	2005	6	17	1	0.61	9.7	9.7			
Min Temp (deg C)	2005	6	18	1	0.61	7.2	7.2			
Min Temp (deg C)	2005	6	19	1	0.61	5.6	5.6			
Min Temp (deg C)	2005	6	20	1	0.61	7.3	7.3			
Min Temp (deg C)	2005	6	21	1	0.61	14.4	14.4			
Min Temp (deg C)	2005	6	22	1	0.61	9.0	9.0			
Min Temp (deg C)	2005	6	23	1	0.61	5.4	5.4			
Min Temp (deg C)	2005	6	24	1	0.61	13.3	13.3			
Min Temp (deg C)	2005	6	25	1	0.61	19.4	19.4			
Min Temp (deg C)	2005	6	26	1	0.61	15.8	15.8			
Min Temp (deg C)	2005	6	27	1	0.61	15.8	15.8			
Min Temp (deg C)	2005	6	28	1	0.61	18.8	18.8			
Min Temp (deg C)	2005	6	29	1	0.61	18.8	18.8			
Min Temp (deg C)	2005	6	30	1	0.61	17.6	17.6			
Min Temp (deg C)	2005	7	1	1	0.61	19.4	19.4			
Min Temp (deg C)	2005	7	2	1	0.61	12.0	12.0			
Min Temp (deg C)	2005	7	3	1	0.61	10.2	10.2			
