VARIABLE	YEAR	MONTH	DAY	NBR STA.	RMSE	SASKATOON INT'L A and RCS	OUTLOOK PFRA	SASKATOON WATER TP	SASKATOON SRC	VANSCOY COMINCO	BEAVER CREEK	SASKATOON CENTRAL AVE	SASKATOON 2	DUNDURN	GLENSIDE	SUTHERLAND	GRASSWOOD
Min Temp (deg C)	2013	8	21	1	2.51	7.1	8.0										
Min Temp (deg C)	2014	12	23	1	2.51	-9.8	-8.3										
Mean Temp (deg C)	1956	10	9	3	1.07	3.7	3.9							3.9		3.9	
Mean Temp (deg C)	1983	6	30	4	0.84	18.2		18.3	18.0			19.0	19.5				
Mean Temp (deg C)	1992	12	1	4	0.87	-4.5	-3.8	-3.8	-4.3	-4.5							
Mean Temp (deg C)	1992	12	4	4	0.87	-14.4	-10.3	-12.8	-14.5	-16.0							
Mean Temp (deg C)	1992	12	11	4	1.1	-11.7		-9.8	-12.0	-9.0	-11.8						
Mean Temp (deg C)	1992	12	18	4	1.1	-24.1		-21.8	-22.5	-23.5	-22.5						
Mean Temp (deg C)	1992	12	24	4	1.1	-20.4		-18.5	-20.3	-15.5	-21.5						
Mean Temp (deg C)	1992	12	25	4	1.1	-22.0		-19.8	-19.3	-22.3	-20.8						
Mean Temp (deg C)	1992	12	27	4	1.1	-30.2		-28.8	-28.0	-28.5	-27.3						
Mean Temp (deg C)	1992	12	29	4	1.1	-33.6		-30.3	-32.3	-31.3	-33.0						
Mean Temp (deg C)	1992	12	30	4	1.1	-38.0		-34.0	-36.0	-37.3	-37.0						
Mean Temp (deg C)	1992	12	31	4	0.87	-36.7	-36.0	-35.0	-35.8	-39.0							
Mean Temp (deg C)	2007	7	2	3	0.95	19.8	18.5	22.5	19.9								
Mean Temp (deg C)	2007	7	3	3	0.95	20.9	20.1	22.8	21.0								
Mean Temp (deg C)	2007	7	19	3	0.95	23.7	23.8	25.8	23.5								
Mean Temp (deg C)	2007	7	23	3	0.95	26.9	26.3	29.0	26.8								
Mean Temp (deg C)	2007	8	18	3	0.95	15.2	14.7	16.3	15.6								
Mean Temp (deg C)	2007	8	19	3	0.95	17.5	17.9	18.0	17.9								
Mean Temp (deg C)	2007	8	20	3	0.95	16.2	14.6	17.8	16.7								
Mean Temp (deg C)	2007	8	21	3	0.95	16.1	15.6	16.5	16.7								
Mean Temp (deg C)	2007	11	6	3	0.95	-2.6	-3.0	-1.5	-1.8								
Mean Temp (deg C)	2007	11	7	2	1.03	-1.5	-0.2		-1.2								
Mean Temp (deg C)	2007	12	18	1	1.7	-18.9	-17.0										
Mean Temp (deg C)	2007	12	19	2	1.27	-11.4	-7.9	-10.8									
Mean Temp (deg C)	2008	4	18	2	1.27	5.5	4.8	7.8									
Mean Temp (deg C)	2008	4	19	2	1.27	-2.8	-1.6	-1.3									
Mean Temp (deg C)	2008	4	20	2	1.27	0.3	-0.6	3.0									
Mean Temp (deg C)	2008	4	21	2	1.27	-8.2	-6.8	-6.5									
Mean Temp (deg C)	2008	9	10	1	1.7	9.8	10.7										
Mean Temp (deg C)	2008	9	11	1	1.7	13.4	14.1										
Mean Temp (deg C)	2008	10	31	2	1.27	4.0	3.9	6.0									
Mean Temp (deg C)	2008	11	30	1	1.7	-3.7	-2.4										
Mean Temp (deg C)	2008	12	1	2	1.27	-1.0	0.4	0.3									
Mean Temp (deg C)	2009	5	6	1	1.7	5.4	6.4										
Mean Temp (deg C)	2009	7	2	1	1.7	14.8	15.5										
Mean Temp (deg C)	2009	11	3	1	1.7	-0.8	0.4										
Mean Temp (deg C)	2010	6	29	1	1.7	21.5	21.9										
Mean Temp (deg C)	2010	9	13	1	1.7	7.4	8.3										
Mean Temp (deg C)	2011	4	27	1	1.7	8.7	9.6										
Mean Temp (deg C)	2011	7	26	1	1.7	19.3	19.8										
