VARIABLE	YEAR	MONTH	DAY	NBR STA.	RMSE	SASKATOON DIEFENBAKER & RCS	OUTLOOK PFRA	SASKATOON WATER TP	SASKATOON SRC	VANSCOY COMINCO	STRONGFIELD	BEAVER CREEK	CUTBANK	SASKATOON CENTRAL AVE	GLENSIDE	MARTENSVILLE	SASKATOON 2	GRASSWOOD
Min Temp (deg C)	1992	12	25	4	1.9	-26.4		-23.5	-25.0	-26.5		-25.0						
Min Temp (deg C)	1992	12	27	4	1.9	-32.0		-31.0	-28.0	-31.0		-27.5						
Min Temp (deg C)	1992	12	29	4	1.57	-35.3		-32.5	-35.5	-33.5	-33.0							
Min Temp (deg C)	1992	12	30	4	1.57	-39.1		-37.0	-38.5	-41.5	-39.0							
Min Temp (deg C)	1992	12	31	4	1.57	-40.8		-39.0	-40.0	-44.0	-41.0							
Min Temp (deg C)	2007	7	3	2	1.69	13.2		15.5	13.6									
Min Temp (deg C)	2007	8	18	2	1.69	11.4		13.0	12.1									
Min Temp (deg C)	2007	8	19	2	1.69	13.0		14.0	14.0									
Min Temp (deg C)	2007	8	20	2	1.69	13.3		16.0	13.5									
Min Temp (deg C)	2007	8	21	2	1.69	11.8		12.0	13.1									
Min Temp (deg C)	2007	11	7	2	1.69	-7.0		-8.0	-4.9									
Min Temp (deg C)	2007	12	19	1	2.28	-19.2		-17.0										
Min Temp (deg C)	2008	4	18	2	2.19	-1.6	-1.5	3.0										
Min Temp (deg C)	2008	4	19	2	2.19	-6.6	-4.8	-5.0										
Min Temp (deg C)	2008	4	20	2	2.19	-7.1	-7.5	-1.0										
Min Temp (deg C)	2008	4	21	2	2.19	-11.7	-10.2	-9.0										
Min Temp (deg C)	2008	9	11	1	2.31	2.7	3.7											
Min Temp (deg C)	2008	11	30	1	2.31	-9.8	-8.3											
Min Temp (deg C)	2008	12	1	2	2.19	-9.6	-8.7	-6.0										
Min Temp (deg C)	2011	8	27	1	2.31	8.2	9.0											
Min Temp (deg C)	2011	8	28	1	2.31	9.3	10.1											
Min Temp (deg C)	2011	8	29	1	2.31	10.2	10.9											
Min Temp (deg C)	2013	8	21	1	2.31	7.1	8.0											
Min Temp (deg C)	2014	11	12	1	2.31	-13.3	-11.7											
Min Temp (deg C)	2014	11	19	nan	nan	nan												
Min Temp (deg C)	2014	11	20	nan	nan	nan												
Min Temp (deg C)	2014	11	21	nan	nan	nan												
Min Temp (deg C)	2014	11	22	nan	nan	nan												
Min Temp (deg C)	2014	11	23	nan	nan	nan												
Min Temp (deg C)	2014	11	24	nan	nan	nan												
Min Temp (deg C)	2014	11	25	nan	nan	nan												
Min Temp (deg C)	2014	11	26	nan	nan	nan												
Min Temp (deg C)	2014	11	27	nan	nan	nan												
Min Temp (deg C)	2014	11	28	nan	nan	nan												
Min Temp (deg C)	2014	11	29	nan	nan	nan												
Min Temp (deg C)	2014	11	30	nan	nan	nan												
Min Temp (deg C)	2014	12	1	nan	nan	nan												
Min Temp (deg C)	2014	12	2	nan	nan	nan												
Min Temp (deg C)	2014	12	3	nan	nan	nan												
Min Temp (deg C)	2014	12	4	nan	nan	nan												
Min Temp (deg C)	2014	12	5	nan	nan	nan												
Min Temp (deg C)	2014	12	6	nan	nan	nan												
Min Temp (deg C)	2014	12	7	nan	nan	nan												
Min Temp (deg C)	2014	12	8	nan	nan	nan												
Min Temp (deg C)	2014	12	9	nan	nan	nan												
Min Temp (deg C)	2014	12	10	nan	nan	nan												
Min Temp (deg C)	2014	12	11	nan	nan	nan												
Min Temp (deg C)	2014	12	12	nan	nan	nan												
Min Temp (deg C)	2014	12	13	nan	nan	nan												
Min Temp (deg C)	2014	12	14	nan	nan	nan												
Min Temp (deg C)	2014	12	15	nan	nan	nan												
Min Temp (deg C)	2014	12	16	nan	nan	nan												
Min Temp (deg C)	2014	12	17	nan	nan	nan												
Min Temp (deg C)	2014	12	18	nan	nan	nan												
Min Temp (deg C)	2014	12	19	nan	nan	nan												
Min Temp (deg C)	2014	12	20	nan	nan	nan												
Min Temp (deg C)	2014	12	21	nan	nan	nan												
Min Temp (deg C)	2014	12	22	nan	nan	nan												
Min Temp (deg C)	2014	12	23	nan	nan	nan												
Min Temp (deg C)	2014	12	24	nan	nan	nan												
Min Temp (deg C)	2014	12	25	nan	nan	nan												
Min Temp (deg C)	2014	12	26	nan	nan	nan												
Min Temp (deg C)	2014	12	27	nan	nan	nan												
Min Temp (deg C)	2014	12	28	nan	nan	nan												
